"REF_DATE","GEO","DGUID","Zero-Emission Vehicles Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277479872","2.1.1.1","","..","","","0"
"2017-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","0","","","","0"
"2017-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","1","","","","0"
"2017-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","0","","","","0"
"2017-10","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","1","","","","0"
"2018-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","5","","","","0"
"2018-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","5","","","","0"
"2018-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","5","","","","0"
"2018-10","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","1","","","","0"
"2019-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","7","","","","0"
"2019-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","11","","","","0"
"2019-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","15","","","","0"
"2019-10","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","11","","","","0"
"2020-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","7","","","","0"
"2020-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","5","","","","0"
"2020-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","27","","","","0"
"2020-10","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","6","","","","0"
"2021-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","21","","","","0"
"2021-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","21","","","","0"
"2021-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","89","","","","0"
"2021-10","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","43","","","","0"
"2022-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","44","","","","0"
"2022-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","46","","","","0"
"2022-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","73","","","","0"
"2022-10","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","54","","","","0"
"2023-01","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","76","","","","0"
"2023-04","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","120","","","","0"
"2023-07","Prince Edward Island","2016A000211","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480251","381.1.1.1","157","","","","0"
"2017-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2017-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2017-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2017-10","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2018-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2018-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2018-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2018-10","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2019-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2019-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2019-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2019-10","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2020-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2020-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2020-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2020-10","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2021-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2021-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2021-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2021-10","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2022-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2022-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2022-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2022-10","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2023-01","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2023-04","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2023-07","Nova Scotia","2016A000212","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480367","497.1.1.1","","..","","","0"
"2017-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","5","","","","0"
"2017-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","7","","","","0"
"2017-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","6","","","","0"
"2017-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","8","","","","0"
"2018-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","10","","","","0"
"2018-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","16","","","","0"
"2018-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","9","","","","0"
"2018-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","21","","","","0"
"2019-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","12","","","","0"
"2019-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","61","","","","0"
"2019-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","53","","","","0"
"2019-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","40","","","","0"
"2020-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","37","","","","0"
"2020-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","31","","","","0"
"2020-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","66","","","","0"
"2020-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","46","","","","0"
"2021-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","67","","","","0"
"2021-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","117","","","","0"
"2021-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","182","","","","0"
"2021-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","106","","","","0"
"2022-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","156","","","","0"
"2022-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","204","","","","0"
"2022-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","253","","","","0"
"2022-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","248","","","","0"
"2023-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","221","","","","0"
"2023-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","456","","","","0"
"2023-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","530","","","","0"
"2017-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","1247","","","","0"
"2017-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2029","","","","0"
"2017-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2110","","","","0"
"2017-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2409","","","","0"
"2018-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2565","","","","0"
"2018-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","5121","","","","0"
"2018-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","4432","","","","0"
"2018-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","5725","","","","0"
"2019-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","3795","","","","0"
"2019-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","9369","","","","0"
"2019-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","7822","","","","0"
"2019-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","6085","","","","0"
"2020-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","5638","","","","0"
"2020-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","4472","","","","0"
"2020-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","8618","","","","0"
"2020-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","7374","","","","0"
"2021-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","6901","","","","0"
"2021-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","11784","","","","0"
"2021-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","10611","","","","0"
"2021-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","7504","","","","0"
"2022-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","10399","","","","0"
"2022-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","11105","","","","0"
"2022-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","12194","","","","0"
"2022-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","12153","","","","0"
"2023-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","11643","","","","0"
"2023-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","19510","","","","0"
"2023-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","22938","","","","0"
"2017-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","1319","","","","0"
"2017-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2089","","","","0"
"2017-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2130","","","","0"
"2017-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2642","","","","0"
"2018-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2748","","","","0"
"2018-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","6946","","","","0"
"2018-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","5258","","","","0"
"2018-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","1806","","","","0"
"2019-01","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","1342","","","","0"
"2019-04","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2878","","","","0"
"2019-07","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","3148","","","","0"
"2019-10","Ontario","2016A000235","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482069","2199.1.1.1","2394","","","","0"
